布局,分布,线程,存储,轮次,种子,键数,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,读取操作数,读取P99纳秒,读取挂起数,写入操作数,写入P99纳秒,写入挂起数,RMW操作数,RMWP99纳秒,RMW挂起数,删除操作数,删除P99纳秒,删除挂起数,拒绝重试,成功,缺失,墓碑,窗口字节,预装日志跨度,业务后日志跨度,业务后驻留页字节,应用写入字节,预装累计读字节,预装累计写字节,业务后累计读字节,业务后累计写字节,持久化累计读字节,持久化累计写字节,恢复读字节,恢复写字节,写放大含预装检查点,预装RSS字节,业务后RSS字节,检查点后RSS字节,恢复后RSS字节,检查点纳秒,恢复纳秒,输入标识
原子u64,均匀,4,超内存,3,8241995736820088833,2048,16384,3730.567,843916,1977542,5744583,4096,12538083,3656,4096,23250,2,4096,11476375,3072,4096,6765791,1948,123365,13312,3072,0,65536,147812,679356,32768,90112,0,98520,142443500,656800,143133140,1430888,1430844,689640,15.878995,28950528,28917760,28917760,28917760,176781166,125533667,u64-uniform-t4
原子u64,每线程热点,1,纯内存,1,8241995736820088833,2048,16384,1852118.972,417,583,1750,4096,1792,0,4096,1917,0,4096,2000,0,4096,625,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,28934144,28917760,28917760,28917760,46971417,30903208,u64-hot-t1
原子u64,每线程热点,1,纯内存,2,8241995736820088833,2048,16384,1844499.796,417,542,1209,4096,625,0,4096,584,0,4096,2042,0,4096,625,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,28934144,28917760,28917760,28917760,50703875,31898917,u64-hot-t1
原子u64,每线程热点,1,纯内存,3,8241995736820088833,2048,16384,2011129.214,417,542,625,4096,583,0,4096,417,0,4096,1250,0,4096,625,0,0,12289,4095,0,67108864,147812,147876,163840,81928,0,0,0,0,164200,378400,378356,164200,4.618690,31899648,32014336,32014336,32014336,54863000,29004542,u64-hot-t1
原子u64,每线程热点,1,超内存,1,8241995736820088833,2048,16384,2853.268,417,943625,1526000,4096,21100708,4096,4096,1333,0,4096,500,0,4096,1583,0,0,12289,4095,0,65536,147812,147948,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,32030720,32014336,32014336,32014336,36733000,30133167,u64-hot-t1
原子u64,每线程热点,1,超内存,2,8241995736820088833,2048,16384,3278.382,417,981583,1492833,4096,20948291,4096,4096,958,0,4096,1250,0,4096,1209,0,0,12289,4095,0,65536,147812,147948,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,32030720,32014336,32014336,32014336,55851542,29206208,u64-hot-t1
原子u64,每线程热点,1,超内存,3,8241995736820088833,2048,16384,3699.455,417,921833,1122583,4096,10873583,4096,4096,459,0,4096,625,0,4096,1209,0,0,12289,4095,0,65536,147812,147948,32768,81928,0,98520,67256320,131360,67420520,378400,378356,164200,4.618690,32030720,32014336,32014336,32014336,65860834,27066416,u64-hot-t1
原子u64,每线程热点,4,纯内存,1,8241995736820088833,2048,16384,1309585.061,1042,12542,26542,4096,26750,0,4096,26000,0,4096,27333,0,4096,26333,0,0,12292,4092,0,67108864,147812,148068,163840,81952,0,0,0,0,164200,378472,378428,164200,4.618216,34308096,34242560,34242560,34242560,89881959,26317042,u64-hot-t4
原子u64,每线程热点,4,纯内存,2,8241995736820088833,2048,16384,691368.781,1000,27500,50375,4096,56375,0,4096,41041,0,4096,56875,0,4096,45167,0,0,12292,4092,0,67108864,147812,148068,163840,81952,0,0,0,0,164200,378472,378428,164200,4.618216,34308096,34242560,34242560,34242560,49831084,29128459,u64-hot-t4
原子u64,每线程热点,4,纯内存,3,8241995736820088833,2048,16384,1080070.866,1125,16000,34708,4096,24500,0,4096,33375,0,4096,34542,0,4096,46083,0,0,12292,4092,0,67108864,147812,148068,163840,81952,0,0,0,0,164200,378472,378428,164200,4.618216,34308096,34242560,34242560,34242560,44156750,32194208,u64-hot-t4
